Unnamed: 0.1,Unnamed: 0,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,rating_category
1386,1386,Chicken Corner,Casual Dining,3.2,6,450.0,no,no,"North Indian, Chinese, Mughlai",Lavelle Road,Majestic,Average Rated
1387,1387,Chicken County,Casual Dining,3.8,136,650.0,no,no,"North Indian, Chinese",Lavelle Road,Majestic,Average Rated
1388,1388,Chicken County Grand,Casual Dining,3.9,319,650.0,yes,no,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Average Rated
1389,1389,Chicken County Restaurant,Casual Dining,3.5,10,400.0,yes,no,"North Indian, Chinese, Fast Food",Bannerghatta Road,Bannerghatta Road,Average Rated
1390,1390,Chicken Dera,Quick Bites,3.0,25,400.0,no,no,"Mughlai, Kebab, Biryani",Bannerghatta Road,Jp Nagar,Average Rated
1391,1391,Chicken Hunt,Quick Bites,3.5,88,350.0,yes,no,"South Indian, North Indian, Chinese, Biryani",Banashankari,Banashankari,Average Rated
1392,1392,Chicken Magic,Quick Bites,3.6,214,300.0,yes,no,"Chinese, North Indian",Koramangala 5Th Block,Btm,Average Rated
1393,1393,Chicken Man,Kiosk,3.7,48,400.0,yes,no,"Roast Chicken, Burger",Bellandur,Bellandur,Average Rated
1394,1394,Chicken Shawarma Hub,"Takeaway, Delivery",3.1,14,250.0,no,no,"Fast Food, Arabian, Beverages",Bellandur,Bellandur,Average Rated
1395,1395,Chickmate,Quick Bites,3.4,6,,no,no,Fast Food,Kalyan Nagar,Banaswadi,Average Rated
1396,1396,Chickpet Donne Biriyani Mane,Quick Bites,2.7,37,150.0,yes,no,"Biryani, South Indian, Kebab",Kalyan Nagar,Nagawara,Average Rated
1397,1397,Chickpet Donne Biryani House,Casual Dining,3.7,80,600.0,yes,no,"Biryani, South Indian, Fast Food",Brookefield,Marathahalli,Average Rated
1398,1398,Chickz N Cheez,Quick Bites,3.4,22,300.0,yes,no,"North Indian, Fast Food",Malleshwaram,Rajajinagar,Average Rated
1399,1399,Chikeys,Quick Bites,3.0,19,400.0,no,no,"Burger, Fast Food",Electronic City,Electronic City,Average Rated
1400,1400,Chikkanna Tiffin Room,Quick Bites,4.3,84,200.0,yes,no,South Indian,Malleshwaram,Seshadripuram,Highly Rated
1401,1401,Chikpet Donne Biriyani Corner,Quick Bites,3.2,7,400.0,yes,no,"Biryani, Kebab",Malleshwaram,Basaveshwara Nagar,Average Rated
1402,1402,Chikpet Donne Biriyani House,Food Court,3.3,18,400.0,yes,no,"Biryani, Kebab",Brookefield,Whitefield,Average Rated
1403,1403,Chikpet Donne Biryani House,Quick Bites,3.6,23,350.0,yes,no,Biryani,Malleshwaram,Yeshwantpur,Average Rated
1404,1404,Chili'S American Grill & Bar,Casual Dining,4.6,4955,1400.0,yes,no,"American, Tex-Mex, Burger, Bbq, Mexican",Whitefield,Whitefield,Highly Rated
1405,1405,Chill,Casual Dining,3.8,42,800.0,no,no,"North Indian, Chinese, Continental",Brookefield,Whitefield,Average Rated
1406,1406,Chill Magic,Beverage Shop,2.8,40,200.0,no,no,"Juices, Beverages",Bannerghatta Road,Jp Nagar,Average Rated
1407,1407,Chill Out,Beverage Shop,3.4,9,150.0,no,no,"Beverages, Juices",Indiranagar,Thippasandra,Average Rated
1408,1408,Chill Out Cafe,Quick Bites,3.5,11,350.0,no,no,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
1409,1409,Chillax,Quick Bites,3.3,4,300.0,no,no,"Fast Food, Beverages",Hsr,Bommanahalli,Average Rated
1410,1410,Chilld Monk,Dessert Parlor,3.5,8,250.0,yes,no,"Desserts, Ice Cream","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
1411,1411,Chiller'S Nation - Iris Inn,Bar,2.9,27,1200.0,no,no,"North Indian, Continental, Italian",Marathahalli,Marathahalli,Average Rated
1412,1412,Chilli Chicken,Quick Bites,3.0,7,500.0,yes,no,Fast Food,Mg Road,Brigade Road,Average Rated
1413,1413,Chilli Flakes,Quick Bites,3.6,46,500.0,yes,no,"Fast Food, Italian, Beverages",Banashankari,Banashankari,Average Rated
1414,1414,Chilli N Chicken,Quick Bites,3.2,4,400.0,no,no,Andhra,Jayanagar,Jp Nagar,Average Rated
1415,1415,Chilli Park,Quick Bites,2.8,40,300.0,yes,no,"North Indian, Chinese, Fast Food",Electronic City,Electronic City,Average Rated
1416,1416,Chillies Restaurant,Casual Dining,3.7,24,500.0,no,no,"North Indian, South Indian, Chinese",Rajajinagar,Majestic,Average Rated
1417,1417,Chillikum,Quick Bites,3.6,38,350.0,yes,no,North Indian,Indiranagar,Indiranagar,Average Rated
1418,1418,Chill-Um Cafe,Quick Bites,4.1,151,600.0,yes,yes,"Cafe, Chinese, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Highly Rated
1419,1419,Chilly N Chicken,Quick Bites,3.5,14,250.0,no,no,"Andhra, Biryani",Jayanagar,Jp Nagar,Average Rated
1420,1420,Chillz,Quick Bites,3.5,9,100.0,no,no,"Fast Food, Juices, Street Food",Bannerghatta Road,Jp Nagar,Average Rated
1421,1421,Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,Bar,4.3,236,2500.0,no,yes,Finger Food,Whitefield,"Itpl Main Road, Whitefield",Highly Rated
1422,1422,Chin Chin By The Biere Club,Casual Dining,4.2,263,1500.0,yes,yes,Asian,Brookefield,Whitefield,Highly Rated
1423,1423,Chin Lung Resto Bar,Bar,3.9,378,1000.0,no,no,"North Indian, Chinese, Fast Food",Brigade Road,Residency Road,Average Rated
1424,1424,Chin Lung Resto-Bar,"Casual Dining, Bar",4.0,307,1000.0,no,no,"North Indian, Chinese, Fast Food",New Bel Road,New Bel Road,Highly Rated
1425,1425,China Bistro & Lounge,Casual Dining,4.4,79,1600.0,yes,yes,"Asian, Chinese, Thai, Korean",Indiranagar,Indiranagar,Highly Rated
1426,1426,China Bowl,Casual Dining,3.9,455,1000.0,yes,no,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Average Rated
1427,1427,China Down Town,Casual Dining,3.5,5,800.0,yes,no,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average Rated
1428,1428,China Garden,Quick Bites,3.6,25,300.0,yes,no,"Chinese, North Indian",Electronic City,Electronic City,Average Rated
1429,1429,China Hut,Kiosk,3.8,56,500.0,no,no,Chinese,Church Street,Frazer Town,Average Rated
1430,1430,China On My Plate,Casual Dining,2.8,23,800.0,yes,no,Chinese,Bellandur,Bellandur,Average Rated
1431,1431,China Pearl,Casual Dining,4.1,155,1100.0,yes,no,"Chinese, Momos",Kalyan Nagar,Kalyan Nagar,Highly Rated
1432,1432,China South,Casual Dining,3.4,4,600.0,no,no,"Chinese, Tibetan",Lavelle Road,Brigade Road,Average Rated
1433,1433,China Tang,"Takeaway, Delivery",3.7,41,600.0,yes,no,Chinese,Bannerghatta Road,Btm,Average Rated
1434,1434,China Town 07,Quick Bites,2.8,40,300.0,yes,no,"Chinese, Momos",Bannerghatta Road,Btm,Average Rated
1435,1435,Chination,Delivery,3.5,4,600.0,yes,no,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average Rated
1436,1436,Chinese Chaska,Casual Dining,3.1,125,550.0,yes,no,"Chinese, North Indian, Biryani",Brookefield,Whitefield,Average Rated
1437,1437,Chinese Corner,Quick Bites,2.8,34,200.0,no,no,Chinese,Basavanagudi,Basavanagudi,Average Rated
1438,1438,Chinese Corner And Bengali Mess,Mess,3.5,28,300.0,yes,no,"Chinese, Bengali",New Bel Road,Sanjay Nagar,Average Rated
1439,1439,Chinese Fire Dragon,Casual Dining,3.4,25,550.0,no,no,"Chinese, North Indian, Momos",Old Airport Road,Domlur,Average Rated
1440,1440,Chinese Food Point,"Takeaway, Delivery",2.8,40,300.0,yes,no,"Chinese, Fast Food",Whitefield,Kr Puram,Average Rated
1441,1441,Chinese House,Quick Bites,2.8,19,300.0,yes,no,"Chinese, Thai, Momos",Basavanagudi,Jayanagar,Average Rated
1442,1442,Chinese Kitchen,Quick Bites,3.8,58,150.0,yes,no,Chinese,Banashankari,Basavanagudi,Average Rated
1443,1443,Chinese Square,Quick Bites,3.9,38,200.0,yes,no,Chinese,Banashankari,Basavanagudi,Average Rated
1444,1444,Chinese Street,Casual Dining,3.1,134,650.0,yes,no,Chinese,Whitefield,Whitefield,Average Rated
1445,1445,Chinita Real Mexican Food,Casual Dining,4.4,2658,1200.0,no,no,Mexican,Indiranagar,Indiranagar,Highly Rated
1446,1446,Chinmayee'S,Casual Dining,3.1,83,700.0,no,no,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
1447,1447,Chinnu'S Mane Biryani,Quick Bites,3.5,10,300.0,yes,no,Biryani,Kalyan Nagar,Banaswadi,Average Rated
1448,1448,Chintu Chit Chat Centre,Quick Bites,3.5,22,100.0,no,no,Street Food,Kammanahalli,Banaswadi,Average Rated
1449,1449,Chit Chat Cafe,"Beverage Shop, Quick Bites",2.8,40,150.0,no,no,"Beverages, Fast Food",Old Airport Road,Old Airport Road,Average Rated
1450,1450,Chitu'S Kitchen,Quick Bites,3.5,10,450.0,no,no,"North Indian, Chinese",Indiranagar,Indiranagar,Average Rated
1451,1451,Chivi'S Meilleurs Boulangers,Quick Bites,3.4,12,300.0,yes,no,"South Indian, Bakery, Fast Food",Electronic City,Electronic City,Average Rated
1452,1452,Choco Allure,"Takeaway, Delivery",3.4,5,300.0,no,no,Desserts,Indiranagar,Indiranagar,Average Rated
1453,1453,Choco Cheese,Dessert Parlor,2.8,40,300.0,yes,no,Desserts,Koramangala 5Th Block,Btm,Average Rated
1454,1454,Choco Nut Cafe,Quick Bites,3.2,19,150.0,yes,no,Desserts,Electronic City,Electronic City,Average Rated
1455,1455,Chocoberry,Dessert Parlor,3.5,56,400.0,yes,no,"Ice Cream, Desserts, Beverages",Banashankari,Jayanagar,Average Rated
1456,1456,Chocolat Boulangerie Patisserie,Dessert Parlor,4.1,445,400.0,no,no,"Bakery, Continental, Sandwich, Beverages, Desserts",Koramangala 4Th Block,Koramangala 4Th Block,Highly Rated
1457,1457,Chocolate D'Luxe,Dessert Parlor,4.1,183,550.0,yes,no,Desserts,Brigade Road,Lavelle Road,Highly Rated
1458,1458,Chocolate Junction,Dessert Parlor,3.8,29,200.0,no,no,Desserts,Brigade Road,Ulsoor,Average Rated
1459,1459,Choconut Cafe,Quick Bites,3.4,6,250.0,no,no,"Fast Food, Beverages",Electronic City,Electronic City,Average Rated
1460,1460,Chocs Cafe,Quick Bites,3.6,23,400.0,yes,no,"Fast Food, Desserts, Beverages",Frazer Town,Rt Nagar,Average Rated
1461,1461,Choi Choi Momos,Kiosk,3.8,29,300.0,no,no,"Chinese, Fast Food, Momos",Brigade Road,Brigade Road,Average Rated
1462,1462,Choice Of Food,Delivery,2.8,40,250.0,yes,no,"North Indian, Desserts",Whitefield,Whitefield,Average Rated
1463,1463,Chokha Chowka,Quick Bites,3.8,358,400.0,yes,no,"North Indian, Chinese",Jayanagar,Btm,Average Rated
1464,1464,Chokha Zaika,Quick Bites,2.8,40,300.0,no,no,North Indian,Electronic City,Electronic City,Average Rated
1465,1465,Choo Zi,Delivery,2.8,40,300.0,no,no,Chinese,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
1466,1466,Chopserve,Quick Bites,3.5,5,300.0,no,no,Chinese,Hsr,Hsr,Average Rated
1467,1467,Chopstick Kitchen,Casual Dining,3.4,71,600.0,yes,no,"Chinese, Momos",Marathahalli,Kaggadasapura,Average Rated
1468,1468,Chopstick World,Casual Dining,4.0,178,750.0,no,no,"Chinese, North Indian",Rajajinagar,Basaveshwara Nagar,Highly Rated
1469,1469,Chord Road Resto-Bar,"Casual Dining, Lounge",3.2,97,1000.0,no,no,"North Indian, South Indian, Chinese",Rajajinagar,Rajajinagar,Average Rated
1470,1470,Chorum Curryum,Quick Bites,2.8,40,250.0,no,no,"Chinese, Kerala, South Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
1471,1471,Chote Miya,Quick Bites,3.6,16,500.0,no,no,"Mughlai, Biryani, Rolls",Frazer Town,Frazer Town,Average Rated
1472,1472,Chow San,Casual Dining,3.0,122,500.0,yes,no,"Chinese, Thai, Momos",Bannerghatta Road,Bannerghatta Road,Average Rated
1473,1473,Chowk Tea Stall,Quick Bites,3.4,8,100.0,no,no,"Street Food, Tea","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Average Rated
1474,1474,Chowmein,Casual Dining,3.8,284,800.0,yes,no,"Chinese, North Indian, Momos, Biryani",Malleshwaram,Basaveshwara Nagar,Average Rated
1475,1475,Chowpatty,Quick Bites,3.6,95,300.0,yes,no,"North Indian, Fast Food, Street Food","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
1476,1476,Chriz Cafe,"Takeaway, Delivery",3.5,11,400.0,yes,no,"South Indian, Biryani",Bellandur,Sarjapur Road,Average Rated
